RESPALDO DE FORMULAS 15/7/2025,,,,,,,,
,,,,,,,,
ACRILO 3,NBR ACRILO,DUREZA:,70,,,,,
47,ACRILO CJLT,100,1,1,50,100,"5493,6","2746,8"
38,NEGRO DE HUMO FEF N 550,90,"1,8","0,5556",45,50,"2507,4","1128,33"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),10,"0,98","1,0204",5,"10,2041","3844,2857","192,2143"
,,,,,,,,
,,,,,,,,
ACRILO PRUEBA,ACRILO RESISTENTE A ACEITES,DUREZA:,70,,,,,
244,ACRILO 3,134,"1,34","0,7463","53,03",100,10206,"5411,9668"
47,ACRILO CJLT,33,1,1,"13,06",33,"5493,6","717,4072"
40,THERMAX FEF N 990,20,"1,8","0,5556","7,91","11,1111",5859,"463,7119"
249,KALFLEX 17 DBP,19,"0,98","1,0204","7,52","19,3876","7495,7143","563,5875"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","1,98","4,1667","8114,4","160,554"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,4","1,1765","3490,2","13,8116"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,4","0,7519","8265,6","32,7091"
6,SULFADS-RHENOGRAN DTDM-80,"1,5","1,4","0,7143","0,59","1,0714","15321,6","90,9474"
53,AZUFRE,"0,7","2,07","0,4831","0,28","0,3382","2154,6","5,9684"
7,"CBS - VULKACIT CZ/EG-C
","1,8","1,25","0,8","0,71","1,44",5355,"38,144"
4,TMTD - VULKACIT THIURAM/C,"1,9","1,4","0,7143","0,75","1,3571","4813,2","36,1895"
3,MBT-S  - VULKACIT DM,"1,8","1,5","0,6667","0,71","1,2","6249,6","44,5163"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,32,"2,7","0,3704","12,66","11,8519","844,2","106,903"
,"23/08/22 - Se ajusta formulación: + 5 phr N990; + 2 phr aceite; +0.3 phr DTDM; -0,1 PHR AZUFRE",,,,,,,
,,,,,,,,
ACRILO PRUEBA 2,Acrilo resistente a aceites,DUREZA:,70,,,,,
244,ACRILO 3,134,"1,34","0,7463","53,47",100,10206,"5457,3184"
47,ACRILO CJLT,33,1,1,"13,17",33,"5493,6","723,419"
40,THERMAX FEF N 990,20,"1,8","0,5556","7,98","11,1111",5859,"467,5978"
249,KALFLEX 17 DBP,19,"0,98","1,0204","7,58","19,3876","7495,7143","568,3103"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333",2,"4,1667","8114,4","161,8994"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,4","0,7519","8265,6","32,9832"
53,AZUFRE,"0,7","2,07","0,4831","0,28","0,3382","2154,6","6,0184"
7,"CBS - VULKACIT CZ/EG-C
",2,"1,25","0,8","0,8","1,6",5355,"42,7374"
4,TMTD - VULKACIT THIURAM/C,"1,9","1,4","0,7143","0,76","1,3571","4813,2","36,4927"
3,MBT-S  - VULKACIT DM,2,"1,5","0,6667","0,8","1,3333","6249,6","49,8771"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,32,"2,7","0,3704","12,77","11,8519","844,2","107,7989"
,,,,,,,,
,,,,,,,,
AN 100/11 GR,Neopreno base GR ,DUREZA:,60,,,,,
150,EMPASTE NEOPRENO GR,"198,2","1,2","0,8333","94,79","165,1667",11340,"10748,8666"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,39","4,1667","8114,4","194,0316"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,91","1,25",5292,"101,2339"
53,AZUFRE,"0,5","2,07","0,4831","0,24","0,2415","2154,6","5,1521"
4,TMTD - VULKACIT THIURAM/C,"0,55","1,4","0,7143","0,26","0,3929","4813,2","12,6603"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,14","0,24",5355,"7,6829"
86,NA 22,"0,55","1,3","0,7692","0,26","0,4231",50400,"132,5681"
,,,,,,,,
,,,,,,,,
AN 100/11 GR 2,Neopreno base GR 2,DUREZA:,60,,,,,
150,EMPASTE NEOPRENO GR,"198,2","1,2","0,8333","93,01","165,1667",11340,"10547,1046"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,35","4,1667","8114,4","190,3895"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,88","1,25",5292,"99,3336"
53,AZUFRE,"0,5","2,07","0,4831","0,23","0,2415","2154,6","5,0554"
4,TMTD - VULKACIT THIURAM/C,"0,8","1,4","0,7143","0,38","0,5714","4813,2","18,0693"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,14","0,24",5355,"7,5387"
86,NA 22,"0,3","1,3","0,7692","0,14","0,2308",50400,"70,9526"
158,AFLUX 16,4,1,1,"1,88",4,5040,"94,6035"
,,,,,,,,
,,,,,,,,
AN 100/11 GR 3,Neopreno base GR 3,DUREZA:,60,,,,,
150,EMPASTE NEOPRENO GR,"198,2","1,2","0,8333","87,41","165,1667",11340,"9912,1852"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,21","4,1667","8114,4","178,9283"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,76","1,25",5292,"93,3539"
53,AZUFRE,"0,5","2,07","0,4831","0,22","0,2415","2154,6","4,751"
4,TMTD - VULKACIT THIURAM/C,"0,55","1,4","0,7143","0,24","0,3929","4813,2","11,6748"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,13","0,24",5355,"7,0849"
86,NA 22,"0,2","1,3","0,7692","0,09","0,1538",50400,"44,4542"
158,AFLUX 16,4,1,1,"1,76",4,5040,"88,9085"
80,ACEITE PESADO EXTRACTO AROMATICO,14,"0,898","1,1136","6,17","15,5902","2034,5212","125,6154"
,,,,,,,,
,,,,,,,,
AN 100/17,"Acrilo 98º C, medio alcalino",DUREZA:,80,,,,,
